,Характеристика,sign,Ед.измерения,Значения
0,Лестничная шахта № 1,0,-,
1,"Расположение – в центральном ядре, ",1,-,
2,"сообщение – только с надземными этажами, ",2,-,
3,изолированный наружный выход,3,-,
4,Количество этажей:,4,-,5
5,Высота этажа 2,5,м,5.7
6,Высота этажа 3,6,м,9.9
7,Высота этажа 4,7,м,14.1
8,Высота этажа 5,8,м,18.3
9,Площадь проекции лестничной клетки:,9,м,27.1
10,Высота дверного проема на этаже,10,м,2.1
11,Площадь дверного проема на этаже,11,м2,2.94
12,Высота дверного проема на выходе,12,м,2.1
13,Площадь дверного проема на выходе,13,м2,2.94
14,Средняя скорость ветра,14,м/с,2
15,Температура воздуха внутренняя,15,С,18
16,Температура наружного воздуха,16,С,-26
17,Значение коэф. местного сопротивления лестничного марша в пределах i-го этажа,17,-,60
18,Тип тамбура наружного выхода,18,-,прямой
19,Значение коэф. местного сопротивления для тамбура,19,-,0
20,Значение коэф. местного сопротивления для наружной двери,20,-,2.44
21,Количество последовательно расположенных дверей наружного выхода лестничной клетки,21,шт,1
22,Коэффициент сопротивления маршей лестничной клетки,22,-,1
23,"Количество лестничных клеток, имеющих выходы в тот же коридор (помещение), защищаемое приточной противодымной вентиляцией ",23,шт,2
24,Расчетное количество лестничных клеток,24,шт,1
25,Массовый расход удаляемых продуктов горения,25,кг/с ,5.8
26,Температура воздуха в лестничной клетке:,26,С,-4
27,Плотность воздуха при температуре Ts,27,кг/м3,1.31
28,Плотность воздуха при температуре Tr,28,кг/м3,1.21
29,Плотность воздуха при температуре Ta,29,кг/м3,1.43
30,Внутреннее давление на уровне вышележащего этажа,30,Па,13.38
31,Разница аэродинамических коэффициентов для наветренной и заветренной стороны здания ,31,-,1.4
32,Массовый расход воздуха через наружный выход лестничной клетки,32,кг/с ,5.23
33,Массовый расход воздуха через открытый проем лестничной клетки на уровне второго надземного этажа здания,33,кг/с ,5.8
34,Внутреннее давление на уровне вышележащего этажа,34,Па,13.38
35,Давление в лестничной клетке на уровне 3 этажа,35,Па,14.43
36,Давление в лестничной клетке на уровне 4 этажа,36,Па,15.56
37,Давление в лестничной клетке на уровне 5 этажа,37,Па,16.77
38,Массовый расход воздуха через наружный выход лестничной клетки,38,кг/с ,5.8
39,Утечки через неплотность дверных проёмов на уровне 3 этажа,39,кг/с ,0.23
40,Массовый расход воздуха на уровне 3 этажа,40,кг/с ,6.01
41,Утечки через неплотность дверных проёмов на уровне 4 этажа,41,кг/с ,0.25
42,Массовый расход воздуха на уровне 4 этажа,42,кг/с ,6.24
43,Утечки через неплотность дверных проёмов на уровне 5 этажа,43,кг/с ,0.28
44,Массовый расход воздуха на уровне 5 этажа,44,кг/с ,6.49
45,Объемный расход воздуха в лестничной клетке,45,м3/ч ,16338.46
46,Давление вентилятора ,46,Па,85.37
